date,value
1900-07-01T00:00:00,18.0
1901-07-01T00:00:00,21.7
1902-07-01T00:00:00,19.9
1903-07-01T00:00:00,18.3
1904-07-01T00:00:00,17.7
1905-07-01T00:00:00,19.3
1906-07-01T00:00:00,19.7
1907-07-01T00:00:00,19.3
1908-07-01T00:00:00,19.7
1909-07-01T00:00:00,19.9
1910-07-01T00:00:00,19.8
1911-07-01T00:00:00,17.7
1912-07-01T00:00:00,18.9
1913-07-01T00:00:00,18.0
1914-07-01T00:00:00,21.1
1915-07-01T00:00:00,16.8
1916-07-01T00:00:00,22.9
1917-07-01T00:00:00,19.7
1918-07-01T00:00:00,19.4
1919-07-01T00:00:00,20.6
1920-07-01T00:00:00,18.5
1921-07-01T00:00:00,23.3
1922-07-01T00:00:00,18.8
1923-07-01T00:00:00,21.4
1924-07-01T00:00:00,18.6
1925-07-01T00:00:00,18.8
1926-07-01T00:00:00,19.2
1927-07-01T00:00:00,17.4
1928-07-01T00:00:00,18.9
1929-07-01T00:00:00,20.5
1930-07-01T00:00:00,20.4
1931-07-01T00:00:00,20.9
1932-07-01T00:00:00,20.1
1933-07-01T00:00:00,20.5
1934-07-01T00:00:00,18.6
1935-07-01T00:00:00,21.9
1936-07-01T00:00:00,22.8
1937-07-01T00:00:00,19.6
1938-07-01T00:00:00,18.6
1939-07-01T00:00:00,20.3
1940-07-01T00:00:00,19.549999999999997
1941-07-01T00:00:00,20.9
1942-07-01T00:00:00,18.5
1943-07-01T00:00:00,21.5
1944-07-01T00:00:00,19.6
1945-07-01T00:00:00,18.9
1946-07-01T00:00:00,19.9
1947-07-01T00:00:00,20.5
1948-07-01T00:00:00,19.8
1949-07-01T00:00:00,20.0
1950-07-01T00:00:00,18.3
1951-07-01T00:00:00,19.0
1952-07-01T00:00:00,19.5
1953-07-01T00:00:00,19.6
1954-07-01T00:00:00,19.5
1955-07-01T00:00:00,22.1
1956-07-01T00:00:00,17.4
1957-07-01T00:00:00,21.3
1958-07-01T00:00:00,18.1
1959-07-01T00:00:00,20.450000000000003
1960-07-01T00:00:00,19.35
1961-07-01T00:00:00,19.7
1962-07-01T00:00:00,17.866666666666664
1963-07-01T00:00:00,20.633333333333336
1964-07-01T00:00:00,20.966666666666665
1965-07-01T00:00:00,18.6
1966-07-01T00:00:00,21.7
1967-07-01T00:00:00,18.8
1968-07-01T00:00:00,19.266666666666666
1969-07-01T00:00:00,18.900000000000002
1970-07-01T00:00:00,21.200000000000003
1971-07-01T00:00:00,17.475
1972-07-01T00:00:00,18.65
1973-07-01T00:00:00,19.425
1974-07-01T00:00:00,21.5
1975-07-01T00:00:00,21.849999999999998
1976-07-01T00:00:00,20.25
1977-07-01T00:00:00,20.6
1978-07-01T00:00:00,18.9
1979-07-01T00:00:00,19.625
1980-07-01T00:00:00,20.5
1981-07-01T00:00:00,19.425
1982-07-01T00:00:00,19.666666666666668
1983-07-01T00:00:00,22.133333333333336
1984-07-01T00:00:00,19.73333333333333
1985-07-01T00:00:00,19.275000000000002
1986-07-01T00:00:00,20.5
1987-07-01T00:00:00,21.566666666666663
1988-07-01T00:00:00,21.9
1989-07-01T00:00:00,21.325
1990-07-01T00:00:00,18.866666666666667
1991-07-01T00:00:00,19.2
1992-07-01T00:00:00,16.04
1993-07-01T00:00:00,18.125
1994-07-01T00:00:00,18.525
1995-07-01T00:00:00,18.999999999999996
1996-07-01T00:00:00,18.275
1997-07-01T00:00:00,18.666666666666668
1998-07-01T00:00:00,19.266666666666666
1999-07-01T00:00:00,21.733333333333334
2000-07-01T00:00:00,19.366666666666667
2001-07-01T00:00:00,20.266666666666666
2002-07-01T00:00:00,21.35
2003-07-01T00:00:00,19.725
2004-07-01T00:00:00,18.8
2005-07-01T00:00:00,20.925
2006-07-01T00:00:00,22.7
2007-07-01T00:00:00,20.9
2008-07-01T00:00:00,19.75
2009-07-01T00:00:00,16.7
2010-07-01T00:00:00,21.1
2011-07-01T00:00:00,21.433333333333337
2012-07-01T00:00:00,23.0
2013-07-01T00:00:00,19.499999999999996
2014-07-01T00:00:00,18.75
2015-07-01T00:00:00,20.033333333333335
2016-07-01T00:00:00,19.8
2017-07-01T00:00:00,19.474999999999998
