date,value
1907-07-01T00:00:00,24.6
1908-07-01T00:00:00,22.1
1909-07-01T00:00:00,24.2
1910-07-01T00:00:00,24.2
1911-07-01T00:00:00,24.3
1912-07-01T00:00:00,24.8
1913-07-01T00:00:00,26.2
1914-07-01T00:00:00,25.1
1915-07-01T00:00:00,21.4
1916-07-01T00:00:00,26.9
1917-07-01T00:00:00,25.7
1918-07-01T00:00:00,23.3
1919-07-01T00:00:00,26.1
1920-07-01T00:00:00,24.4
1921-07-01T00:00:00,25.4
1922-07-01T00:00:00,23.9
1923-07-01T00:00:00,26.4
1924-07-01T00:00:00,23.7
1925-07-01T00:00:00,24.7
1926-07-01T00:00:00,25.6
1927-07-01T00:00:00,23.7
1928-07-01T00:00:00,24.2
1929-07-01T00:00:00,25.3
1930-07-01T00:00:00,27.6
1931-07-01T00:00:00,26.8
1932-07-01T00:00:00,27.0
1933-07-01T00:00:00,25.6
1934-07-01T00:00:00,30.2
1935-07-01T00:00:00,28.7
1936-07-01T00:00:00,30.3
1937-07-01T00:00:00,26.5
1938-07-01T00:00:00,27.4
1939-07-01T00:00:00,27.5
1940-07-01T00:00:00,28.0
1941-07-01T00:00:00,26.2
1942-07-01T00:00:00,26.2
1943-07-01T00:00:00,25.9
1944-07-01T00:00:00,24.7
1945-07-01T00:00:00,23.6
1946-07-01T00:00:00,25.0
1947-07-01T00:00:00,23.6
1948-07-01T00:00:00,24.7
1949-07-01T00:00:00,25.5
1950-07-01T00:00:00,22.3
1951-07-01T00:00:00,22.4
1952-07-01T00:00:00,24.9
1953-07-01T00:00:00,25.3
1954-07-01T00:00:00,28.4
1955-07-01T00:00:00,27.1
1956-07-01T00:00:00,24.5
1957-07-01T00:00:00,27.0
1958-07-01T00:00:00,23.0
1959-07-01T00:00:00,23.6
1960-07-01T00:00:00,23.6
1961-07-01T00:00:00,24.3
1962-07-01T00:00:00,23.1
1963-07-01T00:00:00,25.2
1964-07-01T00:00:00,26.3
1965-07-01T00:00:00,23.5
1966-07-01T00:00:00,26.2
1967-07-01T00:00:00,23.1
1968-07-01T00:00:00,23.8
1969-07-01T00:00:00,25.7
1970-07-01T00:00:00,25.4
1971-07-01T00:00:00,23.6
1972-07-01T00:00:00,24.1
1973-07-01T00:00:00,24.5
1974-07-01T00:00:00,27.2
1975-07-01T00:00:00,25.1
1976-07-01T00:00:00,24.8
1977-07-01T00:00:00,26.0
1978-07-01T00:00:00,24.9
1979-07-01T00:00:00,24.2
1980-07-01T00:00:00,26.9
1981-07-01T00:00:00,24.5
1982-07-01T00:00:00,25.7
1983-07-01T00:00:00,27.3
1984-07-01T00:00:00,24.8
1985-07-01T00:00:00,24.9
1986-07-01T00:00:00,25.7
1987-07-01T00:00:00,25.6
1988-07-01T00:00:00,24.4
1989-07-01T00:00:00,24.6
1990-07-01T00:00:00,24.0
1991-07-01T00:00:00,25.1
1992-07-01T00:00:00,21.7
1993-07-01T00:00:00,23.6
1994-07-01T00:00:00,22.1
1995-07-01T00:00:00,24.8
1996-07-01T00:00:00,22.4
1997-07-01T00:00:00,24.7
1998-07-01T00:00:00,24.65
1999-07-01T00:00:00,26.0
2000-07-01T00:00:00,24.0
2001-07-01T00:00:00,26.1
2002-07-01T00:00:00,26.450000000000003
2003-07-01T00:00:00,25.7
2004-07-01T00:00:00,22.299999999999997
2005-07-01T00:00:00,25.5
2006-07-01T00:00:00,25.7
2007-07-01T00:00:00,24.9
2008-07-01T00:00:00,24.6
2009-07-01T00:00:00,22.0
2010-07-01T00:00:00,24.6
2011-07-01T00:00:00,26.3
2012-07-01T00:00:00,27.299999999999997
2013-07-01T00:00:00,23.7
2014-07-01T00:00:00,22.700000000000003
2015-07-01T00:00:00,24.05
2016-07-01T00:00:00,24.7
2017-07-01T00:00:00,25.45
