date,value
1903-07-01T00:00:00,26.7
1904-07-01T00:00:00,26.5
1905-07-01T00:00:00,26.5
1906-07-01T00:00:00,24.6
1907-07-01T00:00:00,26.9
1917-07-01T00:00:00,27.4
1918-07-01T00:00:00,26.1
1919-07-01T00:00:00,26.2
1920-07-01T00:00:00,26.1
1921-07-01T00:00:00,26.4
1922-07-01T00:00:00,25.2
1923-07-01T00:00:00,26.0
1924-07-01T00:00:00,26.1
1925-07-01T00:00:00,28.4
1926-07-01T00:00:00,26.9
1927-07-01T00:00:00,26.2
1928-07-01T00:00:00,26.9
1929-07-01T00:00:00,26.6
1930-07-01T00:00:00,28.3
1931-07-01T00:00:00,28.3
1932-07-01T00:00:00,29.1
1933-07-01T00:00:00,26.0
1934-07-01T00:00:00,28.1
1935-07-01T00:00:00,26.7
1936-07-01T00:00:00,28.1
1937-07-01T00:00:00,26.0
1938-07-01T00:00:00,25.0
1939-07-01T00:00:00,25.5
1940-07-01T00:00:00,25.9
1941-07-01T00:00:00,26.4
1942-07-01T00:00:00,26.6
1943-07-01T00:00:00,27.3
1944-07-01T00:00:00,26.6
1945-07-01T00:00:00,27.7
1947-07-01T00:00:00,25.8
1948-07-01T00:00:00,28.2
1951-07-01T00:00:00,26.5
1952-07-01T00:00:00,27.8
1953-07-01T00:00:00,26.6
1954-07-01T00:00:00,27.4
1955-07-01T00:00:00,27.0
1956-07-01T00:00:00,27.0
1957-07-01T00:00:00,26.2
1958-07-01T00:00:00,26.7
1959-07-01T00:00:00,26.5
1960-07-01T00:00:00,27.0
1961-07-01T00:00:00,24.9
1962-07-01T00:00:00,26.5
1963-07-01T00:00:00,25.2
1964-07-01T00:00:00,24.8
1965-07-01T00:00:00,26.0
1966-07-01T00:00:00,26.6
1967-07-01T00:00:00,24.5
1968-07-01T00:00:00,25.8
1969-07-01T00:00:00,27.9
1970-07-01T00:00:00,25.7
1971-07-01T00:00:00,24.9
1972-07-01T00:00:00,25.1
1973-07-01T00:00:00,25.7
1974-07-01T00:00:00,25.4
1975-07-01T00:00:00,25.6
1976-07-01T00:00:00,25.5
1977-07-01T00:00:00,28.1
1978-07-01T00:00:00,26.8
1979-07-01T00:00:00,25.4
1980-07-01T00:00:00,29.1
1981-07-01T00:00:00,26.8
1982-07-01T00:00:00,26.5
1983-07-01T00:00:00,28.1
1985-07-01T00:00:00,26.2
1986-07-01T00:00:00,28.9
1987-07-01T00:00:00,27.6
1988-07-01T00:00:00,27.1
1989-07-01T00:00:00,26.1
1990-07-01T00:00:00,27.5
1992-07-01T00:00:00,27.3
1994-07-01T00:00:00,26.0
1995-07-01T00:00:00,28.2
1996-07-01T00:00:00,26.9
1997-07-01T00:00:00,25.5
1998-07-01T00:00:00,27.8
2002-07-01T00:00:00,27.3
2003-07-01T00:00:00,26.8
2005-07-01T00:00:00,26.8
2006-07-01T00:00:00,27.1
2007-07-01T00:00:00,25.0
2008-07-01T00:00:00,26.1
2009-07-01T00:00:00,25.7
2010-07-01T00:00:00,28.4
2011-07-01T00:00:00,28.1
2012-07-01T00:00:00,28.3
2013-07-01T00:00:00,25.6
2014-07-01T00:00:00,25.8
2015-07-01T00:00:00,27.7
2016-07-01T00:00:00,29.4
2017-07-01T00:00:00,27.1
