date,value
1900-07-01T00:00:00,22.0
1901-07-01T00:00:00,21.9
1902-07-01T00:00:00,19.2
1903-07-01T00:00:00,19.7
1904-07-01T00:00:00,20.9
1905-07-01T00:00:00,21.2
1906-07-01T00:00:00,21.7
1907-07-01T00:00:00,20.7
1908-07-01T00:00:00,22.3
1909-07-01T00:00:00,18.3
1910-07-01T00:00:00,21.9
1911-07-01T00:00:00,23.3
1912-07-01T00:00:00,21.1
1913-07-01T00:00:00,21.4
1914-07-01T00:00:00,19.0
1915-07-01T00:00:00,19.1
1916-07-01T00:00:00,21.5
1917-07-01T00:00:00,21.6
1918-07-01T00:00:00,20.3
1919-07-01T00:00:00,21.4
1920-07-01T00:00:00,20.3
1921-07-01T00:00:00,22.3
1922-07-01T00:00:00,20.4
1923-07-01T00:00:00,19.2
1924-07-01T00:00:00,20.7
1925-07-01T00:00:00,19.9
1926-07-01T00:00:00,19.9
1927-07-01T00:00:00,20.8
1928-07-01T00:00:00,21.0
1929-07-01T00:00:00,20.4
1930-07-01T00:00:00,20.3
1931-07-01T00:00:00,21.5
1932-07-01T00:00:00,19.6
1933-07-01T00:00:00,19.9
1934-07-01T00:00:00,21.3
1935-07-01T00:00:00,22.0
1936-07-01T00:00:00,19.9
1937-07-01T00:00:00,21.8
1938-07-01T00:00:00,21.2
1939-07-01T00:00:00,21.4
1940-07-01T00:00:00,20.8
1941-07-01T00:00:00,21.9
1942-07-01T00:00:00,20.9
1943-07-01T00:00:00,21.7
1944-07-01T00:00:00,21.5
1945-07-01T00:00:00,20.1
1946-07-01T00:00:00,20.0
1947-07-01T00:00:00,22.3
1948-07-01T00:00:00,21.4
1949-07-01T00:00:00,22.2
1950-07-01T00:00:00,20.8
1951-07-01T00:00:00,21.2
1952-07-01T00:00:00,23.5
1953-07-01T00:00:00,21.2
1954-07-01T00:00:00,19.6
1955-07-01T00:00:00,22.9
1956-07-01T00:00:00,19.1
1957-07-01T00:00:00,20.0
1958-07-01T00:00:00,20.1
1959-07-01T00:00:00,22.1
1960-07-01T00:00:00,20.3
1961-07-01T00:00:00,20.1
1962-07-01T00:00:00,19.0
1963-07-01T00:00:00,22.1
1964-07-01T00:00:00,20.9
1965-07-01T00:00:00,20.1
1966-07-01T00:00:00,21.3
1967-07-01T00:00:00,21.4
1968-07-01T00:00:00,22.0
1969-07-01T00:00:00,20.0
1970-07-01T00:00:00,22.1
1971-07-01T00:00:00,21.4
1972-07-01T00:00:00,21.3
1973-07-01T00:00:00,22.4
1974-07-01T00:00:00,21.0
1975-07-01T00:00:00,22.7
1976-07-01T00:00:00,20.7
1977-07-01T00:00:00,21.6
1978-07-01T00:00:00,21.5
1979-07-01T00:00:00,22.7
1980-07-01T00:00:00,22.0
1981-07-01T00:00:00,21.9
1982-07-01T00:00:00,21.9
1983-07-01T00:00:00,22.5
1984-07-01T00:00:00,22.0
1985-07-01T00:00:00,22.3
1986-07-01T00:00:00,20.4
1987-07-01T00:00:00,20.9
1988-07-01T00:00:00,22.9
1989-07-01T00:00:00,21.7
1990-07-01T00:00:00,21.9
1991-07-01T00:00:00,21.9
1992-07-01T00:00:00,19.6
1993-07-01T00:00:00,22.1
1994-07-01T00:00:00,23.7
1995-07-01T00:00:00,22.5
1996-07-01T00:00:00,20.2
1997-07-01T00:00:00,20.35
1998-07-01T00:00:00,20.85
1999-07-01T00:00:00,22.25
2000-07-01T00:00:00,18.6
2001-07-01T00:00:00,19.333333333333332
2002-07-01T00:00:00,20.75
2003-07-01T00:00:00,20.566666666666666
2004-07-01T00:00:00,19.3
2005-07-01T00:00:00,20.566666666666666
2006-07-01T00:00:00,21.96666666666667
2007-07-01T00:00:00,19.433333333333334
2008-07-01T00:00:00,21.133333333333333
2009-07-01T00:00:00,18.066666666666666
2010-07-01T00:00:00,21.8
2011-07-01T00:00:00,21.424999999999997
2012-07-01T00:00:00,21.25
2013-07-01T00:00:00,21.366666666666664
2014-07-01T00:00:00,20.775
2015-07-01T00:00:00,19.825000000000003
2016-07-01T00:00:00,20.95
2017-07-01T00:00:00,19.724999999999998
