date,value
1900-07-01T00:00:00,27.3
1901-07-01T00:00:00,28.4
1902-07-01T00:00:00,28.1
1903-07-01T00:00:00,26.9
1904-07-01T00:00:00,26.8
1905-07-01T00:00:00,27.2
1906-07-01T00:00:00,27.1
1907-07-01T00:00:00,28.3
1908-07-01T00:00:00,27.6
1909-07-01T00:00:00,29.4
1910-07-01T00:00:00,27.7
1911-07-01T00:00:00,25.9
1912-07-01T00:00:00,27.0
1913-07-01T00:00:00,26.4
1914-07-01T00:00:00,27.9
1915-07-01T00:00:00,27.2
1916-07-01T00:00:00,27.2
1917-07-01T00:00:00,28.1
1918-07-01T00:00:00,27.1
1919-07-01T00:00:00,26.8
1921-07-01T00:00:00,27.7
1922-07-01T00:00:00,27.0
1923-07-01T00:00:00,26.5
1924-07-01T00:00:00,27.8
1925-07-01T00:00:00,28.3
1926-07-01T00:00:00,26.9
1927-07-01T00:00:00,27.8
1928-07-01T00:00:00,27.2
1929-07-01T00:00:00,27.7
1930-07-01T00:00:00,28.4
1931-07-01T00:00:00,27.5
1932-07-01T00:00:00,28.3
1933-07-01T00:00:00,26.8
1934-07-01T00:00:00,28.1
1935-07-01T00:00:00,28.4
1936-07-01T00:00:00,27.4
1937-07-01T00:00:00,27.4
1938-07-01T00:00:00,27.6
1939-07-01T00:00:00,27.9
1940-07-01T00:00:00,26.3
1941-07-01T00:00:00,27.2
1942-07-01T00:00:00,27.6
1943-07-01T00:00:00,27.5
1944-07-01T00:00:00,28.0
1945-07-01T00:00:00,26.9
1946-07-01T00:00:00,27.1
1947-07-01T00:00:00,27.0
1948-07-01T00:00:00,29.1
1949-07-01T00:00:00,27.6
1950-07-01T00:00:00,27.2
1951-07-01T00:00:00,28.2
1952-07-01T00:00:00,28.0
1953-07-01T00:00:00,28.2
1955-07-01T00:00:00,28.0
1956-07-01T00:00:00,28.6
1957-07-01T00:00:00,28.4
1958-07-01T00:00:00,27.8
1959-07-01T00:00:00,27.6
1960-07-01T00:00:00,28.5
1961-07-01T00:00:00,26.4
1962-07-01T00:00:00,28.6
1963-07-01T00:00:00,26.8
1965-07-01T00:00:00,28.1
1966-07-01T00:00:00,28.2
1967-07-01T00:00:00,26.3
1968-07-01T00:00:00,27.0
1969-07-01T00:00:00,28.6
1970-07-01T00:00:00,27.0
1971-07-01T00:00:00,27.5
1972-07-01T00:00:00,26.5
1973-07-01T00:00:00,28.0
1974-07-01T00:00:00,27.8
1975-07-01T00:00:00,27.2
1976-07-01T00:00:00,27.0
1977-07-01T00:00:00,28.3
1978-07-01T00:00:00,28.6
1979-07-01T00:00:00,27.7
1980-07-01T00:00:00,29.4
1981-07-01T00:00:00,28.8
1982-07-01T00:00:00,27.9
1983-07-01T00:00:00,27.9
1984-07-01T00:00:00,26.9
1985-07-01T00:00:00,27.1
1986-07-01T00:00:00,27.9
1987-07-01T00:00:00,27.1
1988-07-01T00:00:00,27.1
1989-07-01T00:00:00,26.5
1990-07-01T00:00:00,27.2
1991-07-01T00:00:00,27.5
1992-07-01T00:00:00,27.6
1993-07-01T00:00:00,28.1
1994-07-01T00:00:00,26.4
1995-07-01T00:00:00,27.9
1996-07-01T00:00:00,27.2
1997-07-01T00:00:00,27.8
1998-07-01T00:00:00,29.0
1999-07-01T00:00:00,27.3
2000-07-01T00:00:00,28.0
2001-07-01T00:00:00,26.9
2002-07-01T00:00:00,26.6
2003-07-01T00:00:00,26.8
2004-07-01T00:00:00,26.7
2005-07-01T00:00:00,27.4
2006-07-01T00:00:00,27.6
2007-07-01T00:00:00,26.2
2008-07-01T00:00:00,27.8
2009-07-01T00:00:00,27.1
2010-07-01T00:00:00,28.1
2011-07-01T00:00:00,28.4
2012-07-01T00:00:00,27.0
2013-07-01T00:00:00,25.8
2014-07-01T00:00:00,25.2
2015-07-01T00:00:00,28.1
2016-07-01T00:00:00,27.7
2017-07-01T00:00:00,26.9
