date,value
1900-07-01T00:00:00,21.7
1901-07-01T00:00:00,25.2
1902-07-01T00:00:00,20.7
1903-07-01T00:00:00,20.799999999999997
1904-07-01T00:00:00,20.1
1905-07-01T00:00:00,21.45
1906-07-01T00:00:00,20.8
1907-07-01T00:00:00,20.6
1908-07-01T00:00:00,21.700000000000003
1909-07-01T00:00:00,20.55
1910-07-01T00:00:00,21.6
1911-07-01T00:00:00,22.6
1912-07-01T00:00:00,21.4
1913-07-01T00:00:00,20.9
1914-07-01T00:00:00,21.0
1915-07-01T00:00:00,20.15
1916-07-01T00:00:00,23.450000000000003
1917-07-01T00:00:00,20.65
1918-07-01T00:00:00,20.55
1919-07-01T00:00:00,21.75
1920-07-01T00:00:00,19.200000000000003
1921-07-01T00:00:00,25.4
1922-07-01T00:00:00,20.9
1923-07-01T00:00:00,19.8
1924-07-01T00:00:00,19.4
1925-07-01T00:00:00,19.7
1926-07-01T00:00:00,19.9
1927-07-01T00:00:00,20.1
1928-07-01T00:00:00,20.9
1929-07-01T00:00:00,20.5
1930-07-01T00:00:00,20.5
1931-07-01T00:00:00,22.9
1932-07-01T00:00:00,20.0
1933-07-01T00:00:00,22.4
1934-07-01T00:00:00,22.3
1935-07-01T00:00:00,23.7
1936-07-01T00:00:00,22.0
1937-07-01T00:00:00,21.9
1938-07-01T00:00:00,22.3
1939-07-01T00:00:00,21.7
1940-07-01T00:00:00,21.1
1941-07-01T00:00:00,22.4
1942-07-01T00:00:00,20.7
1943-07-01T00:00:00,21.4
1944-07-01T00:00:00,22.3
1945-07-01T00:00:00,20.7
1946-07-01T00:00:00,21.0
1947-07-01T00:00:00,20.9
1948-07-01T00:00:00,21.9
1949-07-01T00:00:00,23.6
1950-07-01T00:00:00,20.8
1951-07-01T00:00:00,21.15
1952-07-01T00:00:00,23.5
1953-07-01T00:00:00,21.45
1954-07-01T00:00:00,20.75
1955-07-01T00:00:00,24.25
1956-07-01T00:00:00,20.25
1957-07-01T00:00:00,20.7
1958-07-01T00:00:00,21.6
1959-07-01T00:00:00,22.65
1960-07-01T00:00:00,20.6
1961-07-01T00:00:00,21.5
1962-07-01T00:00:00,20.200000000000003
1963-07-01T00:00:00,21.666666666666668
1964-07-01T00:00:00,22.5
1965-07-01T00:00:00,19.3
1966-07-01T00:00:00,22.25
1967-07-01T00:00:00,20.5
1968-07-01T00:00:00,21.049999999999997
1969-07-01T00:00:00,21.566666666666663
1970-07-01T00:00:00,21.833333333333332
1971-07-01T00:00:00,20.200000000000003
1972-07-01T00:00:00,21.35
1973-07-01T00:00:00,22.1
1974-07-01T00:00:00,21.1
1975-07-01T00:00:00,22.0
1976-07-01T00:00:00,20.15
1977-07-01T00:00:00,21.799999999999997
1978-07-01T00:00:00,21.25
1979-07-01T00:00:00,21.85
1980-07-01T00:00:00,21.65
1981-07-01T00:00:00,21.7
1982-07-01T00:00:00,21.85
1983-07-01T00:00:00,23.05
1984-07-01T00:00:00,20.65
1985-07-01T00:00:00,20.4
1986-07-01T00:00:00,21.1
1987-07-01T00:00:00,23.049999999999997
1988-07-01T00:00:00,23.599999999999998
1989-07-01T00:00:00,22.275
1990-07-01T00:00:00,21.65
1991-07-01T00:00:00,22.35
1992-07-01T00:00:00,19.125
1993-07-01T00:00:00,22.625
1994-07-01T00:00:00,22.7
1995-07-01T00:00:00,22.7
1996-07-01T00:00:00,20.9
1997-07-01T00:00:00,21.7
1998-07-01T00:00:00,21.9
1999-07-01T00:00:00,23.75
2000-07-01T00:00:00,19.4
2001-07-01T00:00:00,21.4
2002-07-01T00:00:00,23.2
2003-07-01T00:00:00,20.9
2004-07-01T00:00:00,20.76666666666667
2005-07-01T00:00:00,23.925
2006-07-01T00:00:00,23.433333333333334
2007-07-01T00:00:00,20.96666666666667
2008-07-01T00:00:00,21.799999999999997
2009-07-01T00:00:00,19.625
2010-07-01T00:00:00,23.25
2011-07-01T00:00:00,23.875
2012-07-01T00:00:00,24.1
2013-07-01T00:00:00,22.525000000000002
2014-07-01T00:00:00,20.25
2015-07-01T00:00:00,21.225
2016-07-01T00:00:00,24.1
2017-07-01T00:00:00,21.96
